date,series_id,price
2016-01-04,GOLD,1075.0999755859375
2016-01-05,GOLD,1078.4000244140625
2016-01-06,GOLD,1091.9000244140625
2016-01-07,GOLD,1107.699951171875
2016-01-08,GOLD,1097.800048828125
2016-01-11,GOLD,1096.5
2016-01-12,GOLD,1085.5999755859375
2016-01-13,GOLD,1087.5
2016-01-14,GOLD,1073.9000244140625
2016-01-15,GOLD,1091.5
2016-01-19,GOLD,1089.9000244140625
2016-01-20,GOLD,1107.0999755859375
2016-01-21,GOLD,1099.0999755859375
2016-01-22,GOLD,1097.199951171875
2016-01-25,GOLD,1106.199951171875
2016-01-26,GOLD,1121.699951171875
2016-01-27,GOLD,1116.0999755859375
2016-01-28,GOLD,1115.5999755859375
2016-01-29,GOLD,1116.4000244140625
2016-02-01,GOLD,1127.9000244140625
2016-02-02,GOLD,1127.300048828125
2016-02-03,GOLD,1141.300048828125
2016-02-04,GOLD,1157.5999755859375
2016-02-05,GOLD,1157.800048828125
2016-02-08,GOLD,1197.9000244140625
2016-02-09,GOLD,1198.699951171875
2016-02-10,GOLD,1194.699951171875
2016-02-11,GOLD,1247.9000244140625
2016-02-12,GOLD,1239.0999755859375
2016-02-16,GOLD,1207.9000244140625
2016-02-17,GOLD,1211.0999755859375
2016-02-18,GOLD,1226.0999755859375
2016-02-19,GOLD,1230.4000244140625
2016-02-22,GOLD,1209.5
2016-02-23,GOLD,1222.300048828125
2016-02-24,GOLD,1238.699951171875
2016-02-25,GOLD,1238.199951171875
2016-02-26,GOLD,1219.800048828125
2016-02-29,GOLD,1233.9000244140625
2016-03-01,GOLD,1230.300048828125
2016-03-02,GOLD,1241.0999755859375
2016-03-03,GOLD,1257.4000244140625
2016-03-04,GOLD,1269.9000244140625
2016-03-07,GOLD,1263.199951171875
2016-03-08,GOLD,1262.0999755859375
2016-03-09,GOLD,1256.5999755859375
2016-03-10,GOLD,1272.0
2016-03-11,GOLD,1258.699951171875
2016-03-14,GOLD,1244.4000244140625
2016-03-15,GOLD,1230.4000244140625
2016-03-16,GOLD,1229.300048828125
2016-03-17,GOLD,1264.5
2016-03-18,GOLD,1253.800048828125
2016-03-21,GOLD,1243.800048828125
2016-03-22,GOLD,1248.199951171875
2016-03-23,GOLD,1223.699951171875
2016-03-24,GOLD,1221.4000244140625
2016-03-28,GOLD,1219.9000244140625
2016-03-29,GOLD,1235.5999755859375
2016-03-30,GOLD,1226.9000244140625
2016-03-31,GOLD,1234.199951171875
2016-04-01,GOLD,1222.199951171875
2016-04-04,GOLD,1218.0
2016-04-05,GOLD,1228.4000244140625
2016-04-06,GOLD,1222.5
2016-04-07,GOLD,1236.199951171875
2016-04-08,GOLD,1242.5
2016-04-11,GOLD,1256.699951171875
2016-04-12,GOLD,1259.4000244140625
2016-04-13,GOLD,1246.800048828125
2016-04-14,GOLD,1225.0
2016-04-15,GOLD,1233.0999755859375
2016-04-18,GOLD,1233.5999755859375
2016-04-19,GOLD,1253.0
2016-04-20,GOLD,1253.199951171875
2016-04-21,GOLD,1249.0
2016-04-22,GOLD,1228.699951171875
2016-04-25,GOLD,1238.9000244140625
2016-04-26,GOLD,1242.199951171875
2016-04-27,GOLD,1249.199951171875
2016-04-28,GOLD,1265.5
2016-04-29,GOLD,1289.199951171875
2016-05-02,GOLD,1294.699951171875
2016-05-03,GOLD,1290.699951171875
2016-05-04,GOLD,1273.300048828125
2016-05-05,GOLD,1271.4000244140625
2016-05-06,GOLD,1292.9000244140625
2016-05-09,GOLD,1265.5999755859375
2016-05-10,GOLD,1263.9000244140625
2016-05-11,GOLD,1274.5999755859375
2016-05-12,GOLD,1270.300048828125
2016-05-13,GOLD,1271.9000244140625
2016-05-16,GOLD,1273.4000244140625
2016-05-17,GOLD,1276.199951171875
2016-05-18,GOLD,1273.699951171875
2016-05-19,GOLD,1254.199951171875
2016-05-20,GOLD,1252.4000244140625
2016-05-23,GOLD,1251.0999755859375
2016-05-24,GOLD,1228.9000244140625
2016-05-25,GOLD,1223.5
2016-05-26,GOLD,1220.0999755859375
2016-05-27,GOLD,1213.800048828125
2016-05-31,GOLD,1214.800048828125
2016-06-01,GOLD,1211.9000244140625
2016-06-02,GOLD,1209.800048828125
2016-06-03,GOLD,1240.0999755859375
2016-06-06,GOLD,1244.5999755859375
2016-06-07,GOLD,1244.4000244140625
2016-06-08,GOLD,1259.800048828125
2016-06-09,GOLD,1270.199951171875
2016-06-10,GOLD,1273.4000244140625
2016-06-13,GOLD,1284.4000244140625
2016-06-14,GOLD,1285.5999755859375
2016-06-15,GOLD,1285.800048828125
2016-06-16,GOLD,1296.0999755859375
2016-06-17,GOLD,1292.5
2016-06-20,GOLD,1290.0
2016-06-21,GOLD,1270.5
2016-06-22,GOLD,1268.0
2016-06-23,GOLD,1261.199951171875
2016-06-24,GOLD,1320.0
2016-06-27,GOLD,1322.5
2016-06-28,GOLD,1315.300048828125
2016-06-29,GOLD,1323.9000244140625
2016-06-30,GOLD,1318.4000244140625
2016-07-01,GOLD,1336.699951171875
2016-07-05,GOLD,1356.4000244140625
2016-07-06,GOLD,1364.9000244140625
2016-07-07,GOLD,1360.0999755859375
2016-07-08,GOLD,1356.5999755859375
